    BUHKOG, 24.392, 4.019, 24.609, I2/c
    BUHYIP, 43.268, 6.759, 40.361, I2/a
  BUNDEC10, 47.100, 5.260, 31.140, P21
    BURJON, 37.600, 37.600, 5.140, R-3
    BUTHIJ, 34.726, 4.299, 41.223, C2/c
    BUWQAM, 32.472, 6.270, 36.429, I2/a
  BXPQUX10, 39.931, 26.864, 4.471, Fdd2
  BZAMID13, 28.391, 34.863, 5.135, Fdd2
    CABJAU, 41.202, 41.202, 4.951, R3
    CABMOL, 40.200, 45.720, 4.580, Fdd2
    CAGGIE, 22.570, 3.847, 28.862, P21/c
    CAGPUV, 28.094, 28.094, 3.838, I41/a
  CAGPUV01, 27.934, 27.934, 3.766, I41/a
    CAGYIT, 25.169, 3.969, 30.130, C2/c
  CAGYIT01, 25.310, 3.976, 30.244, C2/c
  CAGYIT02, 25.310, 3.976, 30.244, C2/c
    CAHLUW, 21.828, 3.874, 28.930, Pna21
    CAJXES, 41.898, 41.898, 7.197, R3c
    CAKZOG, 36.172, 4.314, 21.587, C2/c
  CANDUR03, 35.975, 35.975, 5.291, R-3
    CAQPIX, 43.507, 3.846, 26.018, C2/c
    CASTUO, 34.841, 34.841, 5.566, R3
  CASTUO01, 34.841, 34.841, 5.566, R3
    CATVEB, 27.686, 27.686, 3.768, P4/n
    CAVBUA, 32.268, 32.268, 6.194, P65
  CBMZPN03, 35.454, 35.454, 5.253, R-3
    CEBJUR, 24.166, 3.833, 26.768, P21/c
    CEFDID, 31.951, 31.951, 4.830, I-4
    CEJWUL, 37.421, 5.056, 40.141, C2/c
    CEJXIC, 29.251, 4.108, 22.384, Pca21
    CENYON, 37.777, 44.573, 3.628, Fdd2
    CEPGEJ, 33.463, 35.077, 4.045, Fdd2
    CEPHNA, 38.880, 4.990, 25.650, C2
    CEPHNB, 36.254, 4.845, 28.194, C2221
    CEPMUG, 32.896, 32.896, 4.819, R3
    CEQKOB, 25.764, 4.548, 25.231, P21/c
    CEQLAO, 38.332, 47.044, 4.568, Fdd2
    CEQLES, 25.034, 4.538, 25.764, I2/a
    CERKUJ, 38.921, 38.921, 7.592, R-3
    CERLIV, 27.789, 4.014, 21.457, C2/c
    CETPEW, 46.220, 3.732, 22.860, C2/c
  CETPEW10, 46.220, 3.732, 22.860, C2/c
    CEVHOC, 36.711, 36.711, 6.533, I4
    CEWTEF, 37.236, 5.115, 27.545, C2/c
    CEYPAA, 26.324, 3.842, 35.911, I2/a
